Search for FDA Guidance Documents | FDA,,,,,,,,
Summary,Document,Issue Date,FDA Organization,Topic,Guidance Status,Open for Comment,Comment Closing Date on Draft,Docket Number
CPG Sec. 130.400  Use of Microfiche and/or Microfilm for Method of Records Retention,,11/07/2004,Office of Regulatory Affairs,"Investigation & Enforcement, Records",Final,No,,
"Pharmacokinetics in Pregnancy — Study Design, Data Analysis, and Impact on Dosing and Labeling","PDF (324.06 KB)PDF (324.06 KB) of Pharmacokinetics in Pregnancy — Study Design, Data Analysis, and Impact on Dosing and Labeling",11/01/2004,Center for Drug Evaluation and Research,Clinical - Pharmacology,Draft,No,,FDA-2004-D-0459
"Recommendations for Obtaining a Labeling Claim for Communicable Disease Donor Screening Tests Using Cadaveric Blood Specimens from Donors of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps):  Guidance for Industry","PDF (33.12 KB)PDF (33.12 KB) of Recommendations for Obtaining a Labeling Claim for Communicable Disease Donor Screening Tests Using Cadaveric Blood Specimens from Donors of Human Cells, Tissues, and Cellular and Tissue-Based Products (HCT/Ps):  Guidance for Industry",11/01/2004,Center for Biologics Evaluation and Research,"Labeling, Tissue",Final,No,,FDA-2005-D-0273
Clinical Trial Considerations: Vertebral Augmentation Devices to Treat Spinal Insufficiency Fractures -  Guidance for Industry and FDA Staff,,10/23/2004,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2020-D-0957
Use of Nucleic Acid Tests on Pooled and Individual Samples from Donors of Whole Blood and Blood Components (including Source Plasma and Source Leukocytes) to Adequately and Appropriately Reduce the Risk of Transmission of  of HIV-1 and HCV:  Guidance for Industry,PDF (54.21 KB)PDF (54.21 KB) of  Use of Nucleic Acid Tests on Pooled and Individual Samples from Donors of Whole Blood and Blood Components (including Source Plasma and Source Leukocytes) to Adequately and Appropriately Reduce the Risk of Transmission of  of HIV-1 and HCV:  Guidance for Industry,10/21/2004,Center for Biologics Evaluation and Research,"Blood, Blood Products",Final,No,,FDA-2001-D-0095
"PAT — A Framework for Innovative Pharmaceutical Development, Manufacturing, and Quality Assurance:  Guidance for Industry","PDF (210.76 KB)PDF (210.76 KB) of PAT — A Framework for Innovative Pharmaceutical Development, Manufacturing, and Quality Assurance:  Guidance for Industry",10/04/2004,Center for Veterinary MedicineOffice of Regulatory AffairsCenter for Drug Evaluation and Research,"Investigation & Enforcement, Current Good Manufacturing Practice (CGMP), Pharmaceutical Quality",Final,No,,FDA-2003-D-0032
Sterile Drug Products Produced by Aseptic Processing — Current Good Manufacturing Practice:  Guidance for Industry,PDF (734.22 KB)PDF (734.22 KB) of Sterile Drug Products Produced by Aseptic Processing — Current Good Manufacturing Practice:  Guidance for Industry,10/04/2004,Office of Regulatory AffairsCenter for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Investigation & Enforcement, Current Good Manufacturing Practice (CGMP), Pharmaceutical Quality",Final,No,,FDA-2003-D-0145
Guidance for Industry: Recommendations to Processors of Apple Juice or Cider on the Use of Ozone for Pathogen Reduction Purposes,,10/01/2004,Human Foods Program,Juice,Final,No,,FDA-2004-D-0531
"FDA Review of Vaccine Labeling Requirements for Warnings, Use Instructions, and Precautionary Information:  Guidance for Industry","PDF (32.78 KB)PDF (32.78 KB) of FDA Review of Vaccine Labeling Requirements for Warnings, Use Instructions, and Precautionary Information:  Guidance for Industry",10/01/2004,Center for Biologics Evaluation and Research,"Pediatric Product Development, Vaccines",Final,No,,FDA-2004-D-0286
Class II Special Controls Guidance Document: Serological Assays for the Detection of Beta-Glucan (PDF version),PDF (55.39 KB)PDF (55.39 KB) of Class II Special Controls Guidance Document: Serological Assays for the Detection of Beta-Glucan (PDF version),09/23/2004,,"Premarket,",Final,No,,
The Use of Clinical Holds Following Clinical Investigator Misconduct:  Guidance for Industry and Clinical Investigators,PDF (37.48 KB)PDF (37.48 KB) of The Use of Clinical Holds Following Clinical Investigator Misconduct:  Guidance for Industry and Clinical Investigators,09/02/2004,Center for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Administrative / Procedural, Good Clinical Practice (GCP)",Final,No,,FDA-2002-D-0053
Independent Consultants for Biotechnology Clinical Trial Protocols:  Guidance for Industry,PDF (39.87 KB)PDF (39.87 KB) of Independent Consultants for Biotechnology Clinical Trial Protocols:  Guidance for Industry,08/19/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Administrative / Procedural, Good Clinical Practice (GCP)",Final,No,,FDA-2003-D-0288
Calcium DTPA and Zinc DTPA Drug Products-Submitting a New Drug Application,PDF (168.17 KB)PDF (168.17 KB) of Calcium DTPA and Zinc DTPA Drug Products-Submitting a New Drug Application,08/13/2004,Center for Drug Evaluation and Research,Clinical - Medical,Final,No,,None found
Developing Medical Imaging Drug and Biological Products Part 1: Conducting Safety Assessments,PDF (270.68 KB)PDF (270.68 KB) of Developing Medical Imaging Drug and Biological Products Part 1: Conducting Safety Assessments,06/22/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Clinical - Medical,Final,No,,FDA-1998-D-0035
Developing Medical Imaging Drug and Biological Products Part 2: Clinical Indications,PDF (231.4 KB)PDF (231.4 KB) of Developing Medical Imaging Drug and Biological Products Part 2: Clinical Indications,06/22/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Clinical - Medical,Final,No,,FDA-1998-D-0035
"Developing Medical Imaging Drug and Biological Products Part 3: Design, Analysis, and Interpretation of Clinical Studies","PDF (307.06 KB)PDF (307.06 KB) of Developing Medical Imaging Drug and Biological Products Part 3: Design, Analysis, and Interpretation of Clinical Studies",06/22/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,Clinical - Medical,Final,No,,FDA-1998-D-0035
CPG Sec. 690.300  Canned Pet Food (Withdrawn 4/30/2019),,06/10/2004,Center for Veterinary MedicineOffice of Regulatory Affairs,"Investigation & Enforcement, Pet Food",Final,No,,
M4: The CTD -- Quality Questions and Answers /Location Issues,PDF (85.61 KB)PDF (85.61 KB) of M4: The CTD -- Quality Questions and Answers /Location Issues,06/09/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Multidisciplinary,Final,No,,FDA-2002-D-0261
Q1E Evaluation of Stability Data,PDF (220.51 KB)PDF (220.51 KB) of Q1E Evaluation of Stability Data,06/08/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Quality,Final,No,,FDA-2002-D-0180
"Medical Device User Fee and Modernization Act of 2002, Validation Data in Premarket Notification Submissions (510(k)s) for Reprocessed Single-Use Medical Devices:  Guidance for Industry and FDA Staff","PDF (133.23 KB)PDF (133.23 KB) of Medical Device User Fee and Modernization Act of 2002, Validation Data in Premarket Notification Submissions (510(k)s) for Reprocessed Single-Use Medical Devices:  Guidance for Industry and FDA Staff",06/02/2004,Center for Devices and Radiological Health,"User Fees, 510(k)",Final,No,,FDA-2003-D-0309
Class II Special Controls Guidance Document: Immunomagnetic Circulating Cancer Cell Selection and Enumeration System (PDF version),PDF (64.19 KB)PDF (64.19 KB) of Class II Special Controls Guidance Document: Immunomagnetic Circulating Cancer Cell Selection and Enumeration System (PDF version),05/11/2004,,"Premarket,",Final,No,,
Submission and Resolution of Formal Disputes Regarding the Timeliness of Premarket Review of a Combination Product:  Guidance for Industry and FDA Staff,PDF (101.25 KB)PDF (101.25 KB) of Submission and Resolution of Formal Disputes Regarding the Timeliness of Premarket Review of a Combination Product:  Guidance for Industry and FDA Staff,05/03/2004,"Office of the Commissioner,Office of Clinical Policy and Programs,Office of Combination Products",Combination Products,Final,No,,FDA-2004-D-0502
Guidance for Industry and FDA Staff: Spinal System 510(k)s,PDF (377.97 KB)PDF (377.97 KB) of Guidance for Industry and FDA Staff: Spinal System 510(k)s,05/02/2004,"Center for Devices and Radiological Health,Office of Product Evaluation and Quality","Premarket,",Final,No,,FDA-2020-D-0957
CVM GFI #144 (VICH GL27) Pre-Approval Information for Registration of New Veterinary Medicinal Products for Food-Producing Animals with Respect to Antimicrobial Resistance,PDF (179.67 KB)PDF (179.67 KB) of CVM GFI #144 (VICH GL27) Pre-Approval Information for Registration of New Veterinary Medicinal Products for Food-Producing Animals with Respect to Antimicrobial Resistance,04/27/2004,Center for Veterinary Medicine,"Antimicrobial Resistance, VICH",Final,No,,FDA-2003-D-0152
"Redbook 2000: VII Glossary, Acronyms and Definitions",,04/25/2004,Human Foods Program,Food & Color Additives,Final,No,,
Changes to an Approved NDA or ANDA:  Guidance for Industry,PDF (173.43 KB)PDF (173.43 KB) of Changes to an Approved NDA or ANDA:  Guidance for Industry,04/08/2004,Center for Drug Evaluation and Research,"Chemistry, Manufacturing, and Controls (CMC), Pharmaceutical Quality",Final,No,,FDA-1999-D-0049
CPG Sec.  490.100 Process Validation Requirements for Drug Products and Active Pharmaceutical Ingredients Subject to Pre-Market Approval,PDF (124.71 KB)PDF (124.71 KB) of CPG Sec.  490.100 Process Validation Requirements for Drug Products and Active Pharmaceutical Ingredients Subject to Pre-Market Approval,03/12/2004,,"Investigation & Enforcement,",Final,No,,
CPG Sec. 490.100 Process Validation Requirements for Drug Products and Active Pharmaceutical Ingredients Subject to Pre-Market Approval,PDF (124.71 KB)PDF (124.71 KB) of CPG Sec. 490.100 Process Validation Requirements for Drug Products and Active Pharmaceutical Ingredients Subject to Pre-Market Approval,03/12/2004,Center for Drug Evaluation and Research,,Final,No,,
Potassium Iodide Tablets - Shelf Life Extension,PDF (191.25 KB)PDF (191.25 KB) of Potassium Iodide Tablets - Shelf Life Extension,03/08/2004,Center for Drug Evaluation and Research,Administrative / Procedural,Final,No,,FDA-2003-D-0029
Surgical Masks - Premarket Notification [510(k)] Submissions:  Guidance for Industry and FDA Staff,PDF (224.92 KB)PDF (224.92 KB) of Surgical Masks - Premarket Notification [510(k)] Submissions:  Guidance for Industry and FDA Staff,03/04/2004,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2003-D-0305
"Guidance for Industry: Juice Hazard Analysis Critical Control Point Hazards and Controls Guidance, First Edition",,03/03/2004,Human Foods Program,"HACCP, Juice",Final,No,,FDA-2002-D-0298
Guidance for Industry and FDA Staff: Vocal Fold Medialization Devices - Premarket Notification [510(k)] Submissions,PDF (426.72 KB)PDF (426.72 KB) of Guidance for Industry and FDA Staff: Vocal Fold Medialization Devices - Premarket Notification [510(k)] Submissions,02/12/2004,"Center for Devices and Radiological Health,Office of Product Evaluation and Quality","Premarket,",Final,No,,FDA-2020-D-0957
IND Exemptions for Studies of Lawfully Marketed Drug or Biological Products for the Treatment of Cancer:  Guidance for Industry,PDF (171.61 KB)PDF (171.61 KB) of IND Exemptions for Studies of Lawfully Marketed Drug or Biological Products for the Treatment of Cancer:  Guidance for Industry,01/15/2004,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,"Clinical - Medical, Good Clinical Practice (GCP)",Final,No,,
Premarket Notification [510(k)] Submissions for Chemical Indicators - Guidance for Industry and FDA Staff,PDF (608.45 KB)PDF (608.45 KB) of Premarket Notification [510(k)] Submissions for Chemical Indicators - Guidance for Industry and FDA Staff,12/18/2003,Center for Devices and Radiological Health,"Premarket,",Final,No,,FDA-2020-D-0957
Q1A(R2) Stability Testing of New Drug Substances and Products,PDF (57.67 KB)PDF (57.67 KB) of Q1A(R2) Stability Testing of New Drug Substances and Products,11/21/2003,Center for Drug Evaluation and ResearchCenter for Biologics Evaluation and Research,ICH-Quality,Final,No,,FDA-2002-D-0222
Redbook 2000: IV. A. Introduction to Guidelines for Toxicity Studies,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Redbook 2000: IV.B.1. General Guidelines for Designing and Conducting Toxicity Studies,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Redbook 2000: IV.B.2 Guidelines for Reporting the Results of Toxicity Studies,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Redbook 2000: IV.C.1.b. In vitro Mammalian Chromosomal Aberration Test,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Redbook 2000: IV.C.3.a. Short-Term Toxicity Studies with Rodents,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Redbook 2000: IV.C.3.b. Short-Term Toxicity Studies with Non-Rodents,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Redbook 2000: IV.C.4.a. Subchronic Toxicity Studies with Rodents,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Redbook 2000: IV.C.4.b. Subchronic Toxicity Studies with Non-Rodents,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Redbook 2000: IV.C.5.b. One-Year Toxicity Studies with Non-Rodents,,11/01/2003,Human Foods Program,Food & Color Additives,Final,No,,
Small Entity Compliance Guide: Label Warning Statements for Iron-Containing Supplements and Drugs,,10/17/2003,Human Foods Program,Labeling,Final,No,,FDA-1997-D-0056
E2D Postapproval Safety Data Management: Definitions and Standards for Expedited Reporting,PDF (164.68 KB)PDF (164.68 KB) of E2D Postapproval Safety Data Management: Definitions and Standards for Expedited Reporting,09/12/2003,Center for Drug Evaluation and Research,ICH-Efficacy,Final,No,,FDA-2003-D-0371
"Part 11, Electronic Records; Electronic Signatures - Scope and Application:  Guidance for Industry","PDF (43.9 KB)PDF (43.9 KB) of Part 11, Electronic Records; Electronic Signatures - Scope and Application:  Guidance for Industry",09/05/2003,Human Foods ProgramCenter for Veterinary MedicineOffice of Inspections and InvestigationsCenter for Drug Evaluation and ResearchCenter for Devices and Radiological HealthCenter for Biologics Evaluation and Research,"Postmarket, Compliance, Electronic Submissions, Investigation & Enforcement, Administrative / Procedural, Current Good Manufacturing Practice (CGMP), Good Clinical Practice (GCP), Food & Color Additives",Final,No,,FDA-2003-D-0143
Information Disclosure by Manufacturers to Assemblers for Diagnostic X-ray Systems - Guidance for Industry and FDA Staff,PDF (41.73 KB)PDF (41.73 KB) of Information Disclosure by Manufacturers to Assemblers for Diagnostic X-ray Systems - Guidance for Industry and FDA Staff,09/04/2003,Center for Devices and Radiological Health,"Postmarket,",Final,No,,FDA-2020-D-0957
Guidance for Industry: Questions and Answers on Juice HACCP Regulation (2003),,09/03/2003,Human Foods Program,"HACCP, Juice",Final,No,,FDA-2020-D-1951
"Small Entity Compliance Guide: Trans Fatty Acids in Nutrition Labeling, Nutrient Content Claims, and Health Claims",,08/20/2003,Human Foods Program,Labeling,Final,No,,FDA-2003-D-0035
IRB Review of Stand-Alone HIPAA Authorizations Under FDA Regulations:  Guidance for Industry,PDF (613.57 KB)PDF (613.57 KB) of IRB Review of Stand-Alone HIPAA Authorizations Under FDA Regulations:  Guidance for Industry,08/16/2003,Office of the Commissioner,,Final,No,,FDA-2003-D-0037
"Frequently-Asked-Questions about the Reprocessing and Reuse of Single-Use Devices by Third-Party and Hospital Reprocessors - Three Additional Questions:  Guidance for Industry, FDA Staff, Third-Party and Hospital Reprocessors","PDF (2.01 MB)PDF (2.01 MB) of Frequently-Asked-Questions about the Reprocessing and Reuse of Single-Use Devices by Third-Party and Hospital Reprocessors - Three Additional Questions:  Guidance for Industry, FDA Staff, Third-Party and Hospital Reprocessors",07/16/2003,"Center for Devices and Radiological Health,Office of Communication, Information Disclosure, Training and Education",,Final,No,,FDA-2020-D-0957
